days,coef,size_prediction,rmse
1,0.1,29,0.015131789194260874
1,0.2,58,0.02619041419819561
1,0.3,87,0.06250079034991513
1,0.4,116,0.04002680641291755
2,0.1,5,0.0290363296142389
2,0.2,10,0.020079423064975892
2,0.3,15,0.02202961142007725
2,0.4,20,0.0328045318762217
3,0.1,8,0.03874333206726036
3,0.2,15,0.01838623623267792
3,0.3,22,0.11871601993139227
3,0.4,30,0.33064653925166176
4,0.1,10,0.023028896449745758
4,0.2,20,0.020992902951218834
4,0.3,30,0.33113463908415475
4,0.4,39,0.4052207823712951
5,0.1,13,0.02038804347927786
5,0.2,25,0.19266780860025529
5,0.3,37,0.49078491833412324
5,0.4,49,0.5619632327091345
